Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
55,Harry Potter and the Half-Blood Prince,"$933,959,197","$301,959,197",32.33%,"$632,000,000",67.67,2009
56,Shrek 2,"$928,974,162","$441,426,807",47.52%,"$487,547,355",52.48,2004
57,Star Wars: Episode I - The Phantom Menace,"$924,305,084","$431,088,295",46.64%,"$493,216,789",53.36,1999
58,The Lord of the Rings: The Two Towers,"$923,015,234","$339,789,881",36.81%,"$583,225,353",63.19,2002
59,Bohemian Rhapsody,"$903,655,259","$216,428,042",23.95%,"$687,227,217",76.05,2018
60,Harry Potter and the Goblet of Fire,"$895,921,036","$290,013,036",32.37%,"$605,908,000",67.63,2005
61,Spider-Man 3,"$890,871,626","$336,530,303",37.78%,"$554,341,323",62.22,2007
62,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.17%,"$690,113,112",77.83,2009
63,Spectre,"$880,674,609","$200,074,609",22.72%,"$680,600,000",77.28,2015
64,Spider-Man: Homecoming,"$880,166,924","$334,201,140",37.97%,"$545,965,784",62.03,2017
65,Harry Potter and the Chamber of Secrets,"$878,979,634","$261,988,482",29.81%,"$616,991,152",70.19,2002
66,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.39%,"$715,922,939",81.61,2012
67,The Secret Life of Pets,"$875,697,467","$368,623,860",42.09%,"$507,073,607",57.91,2016
68,Batman v Superman: Dawn of Justice,"$874,360,194","$330,360,194",37.78%,"$544,000,000",62.22,2016
69,Finding Nemo,"$871,014,978","$339,714,978",39.0%,"$531,300,000",61.0,2003
70,Wolf Warrior 2,"$870,325,439","$2,721,100",0.31%,"$867,604,339",99.69,2017
71,The Lord of the Rings: The Fellowship of the Ring,"$868,385,360","$313,364,114",36.09%,"$555,021,246",63.91,2001
72,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.09%,"$440,343,699",50.91,2013
73,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.13%,"$473,942,950",54.87,2017
74,Inside Out,"$858,294,430","$356,461,711",41.53%,"$501,832,719",58.47,2015
75,Venom,"$856,085,151","$213,515,506",24.94%,"$642,569,645",75.06,2018
76,Thor: Ragnarok,"$853,977,126","$315,058,289",36.89%,"$538,918,837",63.11,2017
77,Star Wars: Episode III - Revenge of the Sith,"$849,997,605","$380,270,577",44.74%,"$469,727,028",55.26,2005
78,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.08%,"$434,191,823",51.92,2009
79,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.23%,"$537,422,083",64.77,2012
80,Inception,"$828,258,695","$292,576,195",35.32%,"$535,682,500",64.68,2010
81,Wonder Woman,"$822,963,408","$412,563,408",50.13%,"$410,400,000",49.87,2017
82,Spider-Man,"$821,708,551","$403,706,375",49.13%,"$418,002,176",50.87,2002
83,Fantastic Beasts and Where to Find Them,"$816,037,575","$234,037,575",28.68%,"$582,000,000",71.32,2016
84,Coco,"$814,641,172","$210,460,015",25.83%,"$604,181,157",74.17,2017
85,Shrek the Third,"$808,308,862","$322,719,944",39.93%,"$485,588,918",60.07,2007
86,Jumanji: The Next Level,"$801,693,929","$320,314,960",39.95%,"$481,378,969",60.05,2019
87,Harry Potter and the Prisoner of Azkaban,"$795,634,069","$249,541,069",31.36%,"$546,093,000",68.64,2004
88,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.71%,"$622,302,918",78.29,2017
89,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.83%,"$570,956,000",72.17,2018
90,Fast & Furious 6,"$788,679,850","$238,679,850",30.26%,"$550,000,000",69.74,2013
91,Indiana Jones and the Kingdom of the Crystal Skull,"$786,636,033","$317,101,119",40.31%,"$469,534,914",59.69,2008
92,Spider-Man 2,"$783,766,341","$373,585,825",47.67%,"$410,180,516",52.33,2004
93,Deadpool,"$782,612,155","$363,070,709",46.39%,"$419,541,446",53.61,2016
94,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.11%,"$439,600,000",56.89,2014
95,2012,"$769,679,473","$166,112,167",21.58%,"$603,567,306",78.42,2009
96,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.87%,"$586,775,991",77.13,2019
97,The Da Vinci Code,"$760,006,945","$217,536,138",28.62%,"$542,470,807",71.38,2006
98,Maleficent,"$758,410,378","$241,410,378",31.83%,"$517,000,000",68.17,2014
99,The Amazing Spider-Man,"$757,930,663","$262,030,663",34.57%,"$495,900,000",65.43,2012
100,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.63%,"$418,220,826",55.37,2014
101,Shrek Forever After,"$752,600,867","$238,736,787",31.72%,"$513,864,080",68.28,2010
102,Suicide Squad,"$749,200,054","$325,100,054",43.39%,"$424,100,000",56.61,2016
103,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",28.97%,"$530,529,792",71.03,2012
104,X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.35%,"$512,124,166",68.65,2014
105,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957",39.16%,"$453,302,158",60.84,2005
106,Monsters University,"$743,559,607","$268,492,764",36.11%,"$475,066,843",63.89,2013
107,The Matrix Reloaded,"$739,412,035","$281,576,461",38.08%,"$457,835,574",61.92,2003
108,Up,"$735,099,082","$293,004,164",39.86%,"$442,094,918",60.14,2009
109,Deadpool 2,"$734,546,611","$318,491,426",43.36%,"$416,055,185",56.64,2018
110,Ne Zha,"$726,024,868","$3,695,533",0.51%,"$722,329,335",99.49,2019
111,Gravity,"$723,192,705","$274,092,705",37.9%,"$449,100,000",62.1,2013
112,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.36%,"$454,654,931",63.64,2014
113,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.5%,"$430,918,723",60.5,2011
114,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.35%,"$502,098,977",70.65,2014
115,The Twilight Saga: New Moon,"$709,827,462","$296,623,634",41.79%,"$413,203,828",58.21,2009
116,Transformers,"$709,709,780","$319,246,193",44.98%,"$390,463,587",55.02,2007
117,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.61%,"$506,128,390",71.39,2014
118,It,"$702,781,748","$327,481,748",46.6%,"$375,300,000",53.4,2017
119,The Wandering Earth,"$699,856,699","$5,971,413",0.85%,"$693,885,286",99.15,2019
120,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43.03%,"$397,959,596",56.97,2010
121,Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.14%,"$485,315,477",69.86,2011
122,The Hunger Games,"$694,394,724","$408,010,692",58.76%,"$286,384,032",41.24,2012
123,Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.57%,"$487,671,890",71.43,2015
124,Interstellar,"$681,070,397","$188,020,017",27.61%,"$493,050,380",72.39,2014
125,Doctor Strange,"$677,718,395","$232,641,920",34.33%,"$445,076,475",65.67,2016
126,The Sixth Sense,"$672,806,292","$293,506,292",43.62%,"$379,300,000",56.38,1999
127,Man of Steel,"$670,145,518","$291,045,518",43.43%,"$379,100,000",56.57,2013
128,Kung Fu Panda 2,"$665,692,281","$165,249,063",24.82%,"$500,443,218",75.18,2011
129,Justice League,"$661,324,295","$229,024,295",34.63%,"$432,300,000",65.37,2017
130,Ice Age: The Meltdown,"$660,998,756","$195,330,621",29.55%,"$465,668,135",70.45,2006
131,Big Hero 6,"$657,827,828","$222,527,828",33.83%,"$435,300,000",66.17,2014
132,Fantastic Beasts: The Crimes of Grindelwald,"$655,755,901","$159,555,901",24.33%,"$496,200,000",75.67,2018
133,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",46.68%,"$348,850,097",53.32,2003
134,Men in Black³,"$654,213,485","$179,020,854",27.36%,"$475,192,631",72.64,2012
135,The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.11%,"$371,704,359",56.89,2015
136,Star Wars: Episode II - Attack of the Clones,"$645,256,452","$302,191,252",46.83%,"$343,065,200",53.17,2002
137,Thor: The Dark World,"$644,783,140","$206,362,140",32.0%,"$438,421,000",68.0,2013
138,Moana,"$643,331,111","$248,757,044",38.67%,"$394,574,067",61.33,2016
139,Sing,"$634,151,679","$270,395,425",42.64%,"$363,756,254",57.36,2016
140,Kung Fu Panda,"$631,744,560","$215,434,591",34.1%,"$416,309,969",65.9,2008
141,The Incredibles,"$631,442,092","$261,441,092",41.4%,"$370,001,000",58.6,2004
142,The Martian,"$630,161,890","$228,433,663",36.25%,"$401,728,227",63.75,2015
143,Hancock,"$629,443,428","$227,946,274",36.21%,"$401,497,154",63.79,2008
144,Fast Five,"$626,137,675","$209,837,675",33.51%,"$416,300,000",66.49,2011
145,Iron Man 2,"$623,933,331","$312,433,331",50.07%,"$311,500,000",49.93,2010
146,Ratatouille,"$623,726,085","$206,445,654",33.1%,"$417,280,431",66.9,2007
147,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.79%,"$406,025,399",65.21,2018
148,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.48%,"$444,534,595",71.52,2014
149,Logan,"$619,021,436","$226,277,068",36.55%,"$392,744,368",63.45,2017
150,The Passion of the Christ,"$611,490,759","$370,274,604",60.55%,"$241,216,155",39.45,2004
151,Mamma Mia!,"$610,002,542","$144,290,968",23.65%,"$465,711,574",76.35,2008
152,Life of Pi,"$609,016,565","$124,987,023",20.52%,"$484,029,542",79.48,2012
153,Casino Royale,"$606,000,064","$167,445,960",27.63%,"$438,554,104",72.37,2006
154,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5,2017
155,Madagascar: Escape 2 Africa,"$603,900,354","$180,010,950",29.81%,"$423,889,404",70.19,2008
156,War of the Worlds,"$603,873,119","$234,280,354",38.8%,"$369,592,765",61.2,2005
157,Tangled,"$591,794,936","$200,821,936",33.93%,"$390,973,000",66.07,2010
158,Quantum of Solace,"$589,580,694","$168,368,427",28.56%,"$421,212,267",71.44,2008
159,The Croods,"$587,204,668","$187,168,425",31.87%,"$400,036,243",68.13,2013
160,The Hangover Part II,"$586,764,305","$254,464,305",43.37%,"$332,300,000",56.63,2011
161,I Am Legend,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2,2007
162,Iron Man,"$585,366,247","$318,604,126",54.43%,"$266,762,121",45.57,2008
163,Ready Player One,"$583,490,172","$137,690,172",23.6%,"$445,800,000",76.4,2018
164,Operation Red Sea,"$579,330,426","$1,543,547",0.27%,"$577,786,879",99.73,2018
165,Night at the Museum,"$574,480,841","$250,863,268",43.67%,"$323,617,573",56.33,2006
166,Fifty Shades of Grey,"$569,651,467","$166,167,230",29.17%,"$403,484,237",70.83,2015
167,Kong: Skull Island,"$568,652,812","$168,052,812",29.55%,"$400,600,000",70.45,2017
168,The Smurfs,"$563,749,323","$142,614,158",25.3%,"$421,135,165",74.7,2011
169,Cars 2,"$559,852,396","$191,452,396",34.2%,"$368,400,000",65.8,2011
170,King Kong,"$556,906,378","$218,080,025",39.16%,"$338,826,353",60.84,2005
171,Puss in Boots,"$554,987,477","$149,260,504",26.89%,"$405,726,973",73.11,2011
172,The Mermaid,"$553,810,228","$3,232,685",0.58%,"$550,577,543",99.42,2016
173,Armageddon,"$553,709,788","$201,578,182",36.41%,"$352,131,606",63.59,1998
174,The Day After Tomorrow,"$552,639,571","$186,740,799",33.79%,"$365,898,772",66.21,2004
175,Ted,"$549,368,315","$218,815,487",39.83%,"$330,552,828",60.17,2012
176,American Sniper,"$547,626,372","$350,126,372",63.94%,"$197,500,000",36.06,2014
177,Mission: Impossible II,"$546,388,108","$215,409,889",39.42%,"$330,978,219",60.58,2000
178,Detective Chinatown 2,"$544,185,156","$1,983,984",0.36%,"$542,201,172",99.64,2018
179,X-Men: Apocalypse,"$543,934,105","$155,442,489",28.58%,"$388,491,616",71.42,2016
180,Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.36%,"$357,000,000",65.64,2011
181,Despicable Me,"$543,239,815","$251,639,815",46.32%,"$291,600,000",53.68,2010
182,Cinderella,"$542,351,353","$201,151,353",37.09%,"$341,200,000",62.91,2015
183,Madagascar,"$542,063,846","$193,595,521",35.71%,"$348,468,325",64.29,2005
184,World War Z,"$540,007,876","$202,359,711",37.47%,"$337,648,165",62.53,2013
185,Brave,"$538,983,207","$237,283,207",44.02%,"$301,700,000",55.98,2012
186,The Simpsons Movie,"$536,414,270","$183,135,014",34.14%,"$353,279,256",65.86,2007
187,The Revenant,"$532,950,503","$183,637,894",34.46%,"$349,312,609",65.54,2015
188,Ralph Breaks the Internet,"$529,323,962","$201,091,711",37.99%,"$328,232,251",62.01,2018
189,The Meg,"$529,243,742","$145,443,742",27.48%,"$383,800,000",72.52,2018
190,"Monsters, Inc.","$528,773,250","$255,873,250",48.39%,"$272,900,000",51.61,2001
191,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.69%,"$361,073,758",68.31,2018
192,The Boss Baby,"$527,965,936","$175,003,033",33.15%,"$352,962,903",66.85,2017
193,Dunkirk,"$526,045,546","$188,045,546",35.75%,"$338,000,000",64.25,2017
194,Godzilla,"$524,976,069","$200,676,069",38.23%,"$324,300,000",61.77,2014
195,Sherlock Holmes,"$524,028,679","$209,028,679",39.89%,"$315,000,000",60.11,2009
196,Meet the Fockers,"$522,657,936","$279,261,160",53.43%,"$243,396,776",46.57,2004
197,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.82%,"$361,000,000",69.18,2019
198,WALL·E,"$521,311,860","$223,808,164",42.93%,"$297,503,696",57.07,2008
199,Kung Fu Panda 3,"$521,170,825","$143,528,619",27.54%,"$377,642,206",72.46,2016
200,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3,2015
201,The Grinch,"$512,453,517","$271,478,510",52.98%,"$240,975,007",47.02,2018
202,Rio 2,"$498,781,117","$131,538,435",26.37%,"$367,242,682",73.63,2014
203,Troy,"$497,409,852","$133,378,256",26.81%,"$364,031,596",73.19,2004
204,How to Train Your Dragon,"$494,878,759","$217,581,231",43.97%,"$277,297,528",56.03,2010
205,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.62%,"$258,400,000",52.38,2013
206,Clash of the Titans,"$493,214,993","$163,214,888",33.09%,"$330,000,105",66.91,2010
207,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.17%,"$377,800,484",76.83,2019
208,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.93%,"$343,839,601",70.07,2017
209,Mr. & Mrs. Smith,"$487,287,646","$186,336,279",38.24%,"$300,951,367",61.76,2005
210,Toy Story 2,"$487,059,677","$245,852,179",50.48%,"$241,207,498",49.52,1999
211,Angels & Demons,"$485,930,816","$133,375,846",27.45%,"$352,554,970",72.55,2009
212,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.42%,"$293,800,000",60.58,2014
213,Shrek,"$484,596,038","$267,851,831",55.27%,"$216,744,207",44.73,2001
214,Bruce Almighty,"$484,592,874","$242,829,261",50.11%,"$241,763,613",49.89,2003
215,Rio,"$483,866,518","$143,619,809",29.68%,"$340,246,709",70.32,2011
216,Saving Private Ryan,"$481,840,909","$216,540,909",44.94%,"$265,300,000",55.06,1998
217,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.69%,"$305,040,688",63.31,2011
218,Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",43.47%,"$268,509,687",56.53,2005
219,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.74%,"$305,099,890",64.26,2015
220,San Andreas,"$474,590,832","$155,190,832",32.7%,"$319,400,000",67.3,2015
221,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$473,230,408","$49,505,008",10.46%,"$423,725,400",89.54,2020
222,It Chapter Two,"$473,093,228","$211,593,228",44.73%,"$261,500,000",55.27,2019
223,Wreck-It Ralph,"$471,222,889","$189,422,889",40.2%,"$281,800,000",59.8,2012
224,The Hangover,"$468,812,793","$277,322,503",59.15%,"$191,490,290",40.85,2009
225,The Lego Movie,"$468,060,692","$257,760,692",55.07%,"$210,300,000",44.93,2014
226,Bumblebee,"$467,989,645","$127,195,589",27.18%,"$340,794,056",72.82,2018
227,Star Trek Into Darkness,"$467,365,246","$228,778,661",48.95%,"$238,586,585",51.05,2013
228,The Matrix,"$463,517,383","$171,479,930",37.0%,"$292,037,453",63.0,1999
229,Cars,"$461,983,149","$244,082,982",52.83%,"$217,900,167",47.17,2006
230,The Eight Hundred,"$461,421,559","$372,755",0.08%,"$461,048,804",99.92,2020
231,Gladiator,"$460,583,960","$187,705,427",40.75%,"$272,878,533",59.25,2000
232,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1,2006
233,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1,2007
234,Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000",72.4,2014
235,300,"$456,068,181","$210,614,939",46.18%,"$245,453,242",53.82,2007
236,The Last Samurai,"$454,627,263","$111,127,263",24.44%,"$343,500,000",75.56,2003
237,Ocean's Eleven,"$450,717,150","$183,417,150",40.69%,"$267,300,000",59.31,2001
238,"My People, My Country","$450,064,993","$2,356,683",0.52%,"$447,708,310",99.48,2019
239,Thor,"$449,326,618","$181,030,624",40.29%,"$268,295,994",59.71,2011
240,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8,2001
241,Tarzan,"$448,191,819","$171,091,819",38.17%,"$277,100,000",61.83,1999
242,La La Land,"$447,407,695","$151,101,803",33.77%,"$296,305,892",66.23,2016
243,The Bourne Ultimatum,"$444,100,035","$227,471,070",51.22%,"$216,628,965",48.78,2007
244,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.56%,"$223,525,393",50.44,2009
245,Les Misérables,"$442,299,309","$148,809,770",33.64%,"$293,489,539",66.36,2012
246,Men in Black II,"$441,818,803","$190,418,803",43.1%,"$251,400,000",56.9,2002
247,Terminator Genisys,"$440,603,537","$89,760,956",20.37%,"$350,842,581",79.63,2015
248,Warcraft,"$439,048,914","$47,365,290",10.79%,"$391,683,624",89.21,2016
249,A Star Is Born,"$436,388,866","$215,288,866",49.33%,"$221,100,000",50.67,2018
250,The Greatest Showman,"$434,993,183","$174,340,174",40.08%,"$260,653,009",59.92,2017
251,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3,2003
252,Pokémon: Detective Pikachu,"$433,305,346","$144,105,346",33.26%,"$289,200,000",66.74,2019
253,The Mummy Returns,"$433,013,274","$202,019,785",46.65%,"$230,993,489",53.35,2001
254,Die Another Day,"$431,971,116","$160,942,139",37.26%,"$271,028,977",62.74,2002
255,The Secret Life of Pets 2,"$431,164,459","$158,980,250",36.87%,"$272,184,209",63.13,2019
256,Cast Away,"$429,632,142","$233,632,142",54.38%,"$196,000,000",45.62,2000
257,Rampage,"$428,128,233","$101,028,233",23.6%,"$327,100,000",76.4,2018
258,The Matrix Revolutions,"$427,343,298","$139,313,948",32.6%,"$288,029,350",67.4,2003
259,The Intouchables,"$426,588,510","$10,198,820",2.39%,"$416,389,690",97.61,2011
260,Bad Boys for Life,"$426,505,244","$206,305,244",48.37%,"$220,200,000",51.63,2020
261,Django Unchained,"$425,368,238","$162,805,434",38.27%,"$262,562,804",61.73,2012
262,The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.75%,"$278,044,078",66.25,2008
263,Sex and the City,"$418,765,321","$152,647,258",36.45%,"$266,118,063",63.55,2008
264,The Captain,"$417,863,545","$706,572",0.17%,"$417,156,973",99.83,2019
265,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.11%,"$311,299,267",74.89,2010
266,Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9,2016
267,The Wolverine,"$414,828,246","$132,556,852",31.95%,"$282,271,394",68.05,2013
268,Kingsman: The Secret Service,"$414,351,546","$128,261,724",30.95%,"$286,089,822",69.05,2015
269,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.91%,"$235,862,449",57.09,2009
270,The King's Speech,"$412,018,551","$135,453,143",32.88%,"$276,565,408",67.12,2010
271,Pacific Rim,"$411,002,906","$101,802,906",24.77%,"$309,200,000",75.23,2013
272,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.39%,"$310,667,824",75.61,2017
273,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4,2017
274,Ice Age: Collision Course,"$408,579,038","$64,063,008",15.68%,"$344,516,030",84.32,2016
275,Signs,"$408,247,917","$227,966,634",55.84%,"$180,281,283",44.16,2002
276,X2: X-Men United,"$407,711,549","$214,949,694",52.72%,"$192,761,855",47.28,2003
277,Twilight,"$407,231,663","$192,769,854",47.34%,"$214,461,809",52.66,2008
278,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8,2019
279,The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6,2008
280,Prometheus,"$403,354,469","$126,477,084",31.36%,"$276,877,385",68.64,2012
281,Batman,"$401,188,924","$251,188,924",62.61%,"$150,000,000",37.39,1989
282,TRON: Legacy,"$400,062,763","$172,062,763",43.01%,"$228,000,000",56.99,2010
283,Mission: Impossible III,"$398,479,497","$134,029,801",33.64%,"$264,449,696",66.36,2006
284,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.17%,"$241,260,448",60.83,2012
285,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.54%,"$274,409,771",69.46,2018
286,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6,2018
287,The Wolf of Wall Street,"$392,000,694","$116,900,694",29.82%,"$275,100,000",70.18,2013
288,Superman Returns,"$391,081,192","$200,081,192",51.16%,"$191,000,000",48.84,2006
289,Independence Day: Resurgence,"$389,681,935","$103,144,286",26.47%,"$286,537,649",73.53,2016
290,Live Free or Die Hard,"$388,156,011","$134,529,403",34.66%,"$253,626,608",65.34,2007
291,Godzilla: King of the Monsters,"$387,300,138","$110,500,138",28.53%,"$276,800,000",71.47,2019
292,Monster Hunt,"$387,053,506","$32,766",0.01%,"$387,020,740",99.99,2015
293,Home,"$386,041,607","$177,397,510",45.95%,"$208,644,097",54.05,2015
294,Star Trek,"$385,680,446","$257,730,019",66.82%,"$127,950,427",33.18,2009
295,1917,"$384,580,017","$159,227,644",41.4%,"$225,352,373",58.6,2019
296,Happy Feet,"$384,335,608","$198,000,317",51.52%,"$186,335,291",48.48,2006
297,Cars 3,"$383,930,656","$152,901,115",39.83%,"$231,029,541",60.17,2017
298,Ice Age,"$383,257,136","$176,387,405",46.02%,"$206,869,731",53.98,2002
299,Fifty Shades Darker,"$381,545,846","$114,581,250",30.03%,"$266,964,596",69.97,2017
300,Monsters vs. Aliens,"$381,509,870","$198,351,526",51.99%,"$183,158,344",48.01,2009
301,Mad Max: Fury Road,"$379,436,354","$153,636,354",40.49%,"$225,800,000",59.51,2015
302,Slumdog Millionaire,"$378,410,113","$141,319,928",37.35%,"$237,090,185",62.65,2008
303,Once Upon a Time... in Hollywood,"$377,426,903","$142,502,728",37.76%,"$234,924,175",62.24,2019
304,Taken 2,"$376,141,306","$139,854,287",37.18%,"$236,287,019",62.82,2012
305,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.61%,"$253,217,645",67.39,2013
306,Spider-Man: Into the Spider-Verse,"$375,582,637","$190,241,310",50.65%,"$185,341,327",49.35,2018
307,Shark Tale,"$374,583,879","$160,861,908",42.94%,"$213,721,971",57.06,2004
308,What Women Want,"$374,111,707","$182,811,707",48.87%,"$191,300,000",51.13,2000
309,The Adventures of Tintin,"$373,993,951","$77,591,831",20.75%,"$296,402,120",79.25,2011
310,Penguins of Madagascar,"$373,515,621","$83,850,911",22.45%,"$289,664,710",77.55,2014
311,Batman Begins,"$373,443,774","$205,343,774",54.99%,"$168,100,000",45.01,2005
312,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.22%,"$193,179,707",51.78,2009
313,The Golden Compass,"$372,234,864","$70,107,728",18.83%,"$302,127,136",81.17,2007
314,Fifty Shades Freed,"$371,985,018","$100,407,760",26.99%,"$271,577,258",73.01,2018
315,Hitch,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7,2005
316,Terminator Salvation,"$371,353,001","$125,322,469",33.75%,"$246,030,532",66.25,2009
317,Captain America: The First Avenger,"$370,569,774","$176,654,505",47.67%,"$193,915,269",52.33,2011
318,Edge of Tomorrow,"$370,541,256","$100,206,256",27.04%,"$270,335,000",72.96,2014
319,There's Something About Mary,"$369,884,651","$176,484,651",47.71%,"$193,400,000",52.29,1998
320,Gone Girl,"$369,330,363","$167,767,189",45.42%,"$201,563,174",54.58,2014
321,Jurassic Park III,"$368,780,809","$181,171,875",49.13%,"$187,608,934",50.87,2001
322,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.48%,"$127,305,836",34.52,2002
323,The Nun,"$366,050,119","$117,450,119",32.09%,"$248,600,000",67.91,2018
324,Shazam!,"$365,971,656","$140,371,656",38.36%,"$225,600,000",61.64,2019
325,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.48%,"$148,025,572",40.52,2007
326,Tenet,"$365,304,105","$58,504,105",16.02%,"$306,800,000",83.98,2020
327,Notting Hill,"$363,889,678","$116,089,678",31.9%,"$247,800,000",68.1,1999
328,A Bug's Life,"$363,258,859","$162,798,565",44.82%,"$200,460,294",55.18,1998
329,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.32%,"$249,458,014",68.68,2014
330,Ocean's Twelve,"$362,744,280","$125,544,280",34.61%,"$237,200,000",65.39,2004
331,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3,2001
332,The Hangover Part III,"$362,000,072","$112,200,072",30.99%,"$249,800,000",69.01,2013
333,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8,2018
334,Fast & Furious,"$360,364,265","$155,064,265",43.03%,"$205,300,000",56.97,2009
335,E.T. the Extra-Terrestrial,"$359,200,799","$359,197,037",100.0%,"$3,762",0.0,1982
336,Noah,"$359,200,044","$101,200,044",28.17%,"$258,000,000",71.83,2014
337,The Karate Kid,"$359,126,022","$176,591,618",49.17%,"$182,534,404",50.83,2010
338,Hotel Transylvania,"$358,375,603","$148,313,048",41.38%,"$210,062,555",58.62,2012
339,Minority Report,"$358,372,926","$132,072,926",36.85%,"$226,300,000",63.15,2002
340,Your Name.,"$357,986,087","$5,017,246",1.4%,"$352,968,841",98.6,2016
341,The Legend of Tarzan,"$357,243,061","$126,643,061",35.45%,"$230,600,000",64.55,2016
342,American Beauty,"$356,296,601","$130,096,601",36.51%,"$226,200,000",63.49,1999
343,The Great Gatsby,"$353,641,895","$144,840,419",40.96%,"$208,801,476",59.04,2013
344,Dumbo,"$353,284,621","$114,766,307",32.49%,"$238,518,314",67.51,2019
345,"I, Robot","$353,133,898","$144,801,023",41.0%,"$208,332,875",59.0,2004
346,Murder on the Orient Express,"$352,789,811","$102,826,543",29.15%,"$249,963,268",70.85,2017
347,X-Men: First Class,"$352,616,690","$146,408,305",41.52%,"$206,208,385",58.48,2011
348,The Angry Birds Movie,"$352,333,929","$107,509,366",30.51%,"$244,824,563",69.49,2016
349,Catch Me If You Can,"$352,114,312","$164,615,351",46.75%,"$187,498,961",53.25,2002
