Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
4983,Army of Darkness,"$11,505,040","$11,502,976",99.98%,"$2,064",0.02,1993
4990,Suspect Zero,"$11,416,075","$8,725,813",76.43%,"$2,690,262",23.57,2004
4999,Connie and Carla,"$11,341,016","$8,085,771",71.3%,"$3,255,245",28.7,2004
5002,Kabhi Khushi Kabhie Gham...,"$11,329,690","$2,902,000",25.61%,"$8,427,690",74.39,2001
5008,"The Adventures of Priscilla, Queen of the Desert","$11,253,749","$11,220,670",99.71%,"$33,079",0.29,1994
5010,You Can Count on Me,"$11,242,521","$9,416,804",83.76%,"$1,825,717",16.24,2000
5014,Shadow of the Vampire,"$11,155,214","$8,293,784",74.35%,"$2,861,430",25.65,2000
5022,Big Trouble in Little China,"$11,101,439","$11,100,000",99.99%,"$1,439",0.01,1986
5028,Head-On,"$11,030,861","$435,395",3.95%,"$10,595,466",96.05,2004
5029,Adrenaline Rush: The Science of Risk,"$11,011,932","$10,994,028",99.84%,"$17,904",0.16,2002
5035,District B13,"$10,976,892","$1,200,216",10.93%,"$9,776,676",89.07,2004
5038,Extreme Ops,"$10,959,475","$4,842,259",44.18%,"$6,117,216",55.82,2002
5042,Das Boot,"$10,916,352","$10,915,250",99.99%,"$1,102",0.01,1982
5044,The Perfect Score,"$10,898,337","$10,391,003",95.34%,"$507,334",4.66,2004
5045,Lucky Numbers,"$10,890,222","$10,042,516",92.22%,"$847,706",7.78,2000
5047,Here on Earth,"$10,873,148","$10,522,168",96.77%,"$350,980",3.23,2000
5050,Let Him Go,"$10,835,686","$9,358,025",86.36%,"$1,477,661",13.64,2020
5051,Office Space,"$10,829,448","$10,827,810",99.98%,"$1,638",0.02,1999
5060,Glengarry Glen Ross,"$10,726,612","$10,725,228",99.99%,"$1,384",0.01,1992
5074,After Hours,"$10,610,608","$10,609,321",99.99%,"$1,287",0.01,1985
5080,Pollock,"$10,558,970","$8,598,593",81.43%,"$1,960,377",18.57,2000
5083,The Hunt,"$10,550,350","$5,812,500",55.09%,"$4,737,850",44.91,2020
5086,Anatomy,"$10,501,958","$9,660",0.09%,"$10,492,298",99.91,2000
5093,The Cooler,"$10,464,788","$8,291,572",79.23%,"$2,173,216",20.77,2003
5101,The Virgin Suicides,"$10,409,377","$4,906,229",47.13%,"$5,503,148",52.87,2000
5107,Town & Country,"$10,372,291","$6,719,973",64.79%,"$3,652,318",35.21,2001
5109,Wasabi,"$10,366,360","$97,220",0.94%,"$10,269,140",99.06,2001
5120,The Wash,"$10,229,331","$10,097,538",98.71%,"$131,793",1.29,2001
5123,Woman on Top,"$10,194,274","$5,020,111",49.24%,"$5,174,163",50.76,2000
5131,Thirteen,"$10,128,960","$4,601,043",45.42%,"$5,527,917",54.58,2003
5141,Sexy Beast,"$10,045,677","$6,946,056",69.14%,"$3,099,621",30.86,2001
5144,The Deep End,"$10,031,529","$8,823,109",87.95%,"$1,208,420",12.05,2001
5150,Elephant,"$10,012,022","$1,266,955",12.65%,"$8,745,067",87.35,2003
5156,Lassie,"$9,994,609","$9,979,683",99.85%,"$14,926",0.15,1994
5162,Whatever It Takes,"$9,902,115","$8,745,680",88.32%,"$1,156,435",11.68,2000
5177,100% Wolf,"$9,775,522","$658,764",6.74%,"$9,116,758",93.26,2020
5182,Bread and Tulips,"$9,733,455","$5,318,679",54.64%,"$4,414,776",45.36,2000
5183,My Life Without Me,"$9,726,954","$400,948",4.12%,"$9,326,006",95.88,2003
5193,The Young Black Stallion,"$9,638,389","$6,751,389",70.05%,"$2,887,000",29.95,2003
5205,10 Days with Dad,"$9,472,077","$2,359",0.02%,"$9,469,718",99.98,2020
5206,Nightbreed,"$9,469,695","$8,862,354",93.59%,"$607,341",6.41,1990
5207,Veronica Guerin,"$9,439,660","$1,571,504",16.65%,"$7,868,156",83.35,2003
5212,Ghost Dog: The Way of the Samurai,"$9,380,473","$3,308,029",35.27%,"$6,072,444",64.73,2000
5224,State and Main,"$9,206,279","$6,944,471",75.43%,"$2,261,808",24.57,2000
5230,The Love Letter,"$9,139,145","$8,302,478",90.85%,"$836,667",9.15,1999
5235,Rear Window 1983 Re-release,"$9,084,873","$9,084,420",100.0%,$453,0.0,1983
5246,In the Mouth of Madness,"$8,926,413","$8,924,549",99.98%,"$1,864",0.02,1995
5248,Kandahar,"$8,914,751","$1,418,314",15.91%,"$7,496,437",84.09,2001
5250,Downhill,"$8,899,195","$8,287,061",93.12%,"$612,134",6.88,2020
5257,Après Vous,"$8,852,763","$830,292",9.38%,"$8,022,471",90.62,2003
5258,"Spring, Summer, Fall, Winter... and Spring","$8,841,920","$2,380,788",26.93%,"$6,461,132",73.07,2003
5259,Body Double,"$8,803,117","$8,801,940",99.99%,"$1,177",0.01,1984
5263,18 Years Later,"$8,785,730","$25,611",0.29%,"$8,760,119",99.71,2003
5264,Son of the Bride,"$8,772,695","$624,757",7.12%,"$8,147,938",92.88,2001
5265,Ghost World,"$8,764,007","$6,217,849",70.95%,"$2,546,158",29.05,2001
5269,The Forsaken,"$8,704,851","$7,288,451",83.73%,"$1,416,400",16.27,2001
5272,Play It to the Bone,"$8,678,812","$8,434,146",97.18%,"$244,666",2.82,1999
5280,Manhunter,"$8,621,544","$8,620,929",99.99%,$615,0.01,1986
5287,Blue Velvet,"$8,553,817","$8,551,228",99.97%,"$2,589",0.03,1986
5293,Before Night Falls,"$8,527,517","$4,242,892",49.76%,"$4,284,625",50.24,2000
5300,1984,"$8,431,544","$8,430,492",99.99%,"$1,052",0.01,1984
5307,Shallow Grave,"$8,386,229","$2,079,569",24.8%,"$6,306,660",75.2,1995
5308,Bones,"$8,378,853","$7,316,658",87.32%,"$1,062,195",12.68,2001
