Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Dirty Movie,2011,movie,15 Feb 2011,91,Comedy,"Jerry Daigle, Christopher Meloni",English,United States,N/A,N/A,0,0,3.1,N/A,N,N/A,"3,581",N/A,No,No,No,No
Horrid Henry: The Movie,2011,movie,11 Jan 2013,93,"Adventure, Comedy, Family",Nick Moore,English,United Kingdom,N/A,1 win & 1 nomination,1,1,3.6,9%,N,N/A,"3,162",N/A,Yes,No,No,No
K-On! The Movie,2011,movie,03 Dec 2011,110,"Animation, Adventure, Comedy",Naoko Yamada,"Japanese, English",Japan,Section 23,1 nomination,1,0,7.7,N/A,N,N/A,"2,378",N/A,Yes,Yes,No,No
Pokémon the Movie: White - Victini and Zekrom,2011,movie,03 Dec 2011,97,"Animation, Action, Adventure",Kunihiko Yuyama,Japanese,Japan,N/A,N/A,0,0,5.7,N/A,N,N/A,"1,992",N/A,Yes,No,No,No
Indie Game: The Movie,2012,movie,15 Sep 2012,103,"Documentary, Drama","Lisanne Pajot, James Swirsky","English, French",Canada,N/A,3 wins & 6 nominations,6,3,7.6,94%,73,73,"21,504",N/A,Yes,Yes,No,No
Tim and Eric's Billion Dollar Movie,2012,movie,27 Jan 2012,93,Comedy,"Tim Heidecker, Eric Wareheim",English,United States,N/A,1 nomination,1,0,5.3,38%,40,40,"10,719","$201,436",No,No,No,No
Road to Ninja - Naruto the Movie,2012,movie,29 Aug 2014,109,"Animation, Action, Adventure",Hayato Date,"English, Italian, French, German, Spanish, Portuguese, Hebrew, Hungarian, Japanese",Japan,N/A,2 wins & 1 nomination,1,2,7.6,N/A,N,N/A,"8,529","$43,171",Yes,Yes,No,No
Nitro Circus: The Movie,2012,movie,08 Aug 2012,92,"Documentary, Action, Comedy","Gregg Godfrey, Jeremy Rawle",English,United States,N/A,N/A,0,0,6.6,6%,43,43,"6,395","$3,377,618",Yes,No,No,No
Blue Exorcist: The Movie,2012,movie,28 Dec 2012,88,"Animation, Action, Adventure",Atsushi Takahashi,Japanese,Japan,N/A,2 nominations,2,0,7.1,N/A,N,N/A,"2,582","$21,796",Yes,No,No,No
Big Time Movie,2012,movie,10 Mar 2012,68,"Comedy, Family, Music",Savage Steve Holland,English,"United States, Canada",N/A,3 wins & 11 nominations,11,3,6.1,N/A,N,N/A,"2,313",N/A,Yes,No,No,Yes
Pokémon the Movie: Kyurem vs. the Sword of Justice,2012,movie,08 Dec 2012,72,"Animation, Action, Adventure",Kunihiko Yuyama,Japanese,Japan,N/A,N/A,0,0,5.5,N/A,N,N/A,"1,846",N/A,Yes,No,No,No
Puella Magi Madoka Magica the Movie Part 1: Beginnings,2012,movie,06 Oct 2012,130,"Animation, Drama, Fantasy","Fujiaki Asari, Mamoru Hatakeyama, Takashi Kawabata",Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,"1,773","$180,440",Yes,No,No,No
Puella Magi Madoka Magica the Movie Part 2: Eternal,2012,movie,13 Oct 2012,109,"Animation, Fantasy, Mystery","Tomoyuki Itamura, Yukihiro Miyamoto, Masahiro Mukai",Japanese,Japan,Aniplex,N/A,0,0,7.9,N/A,N,N/A,"1,741","$62,340",Yes,No,No,No
High Rise Life - The Movie,2012,movie,16 Mar 2012,84,Comedy,Mikael Syrén,"Swedish, Norwegian, English",Sweden,N/A,N/A,0,0,5.3,N/A,N,N/A,"1,246",N/A,No,Yes,No,No
Movie 43,2013,movie,25 Jan 2013,94,Comedy,"Elizabeth Banks, Steven Brill, Steve Carr",English,United States,N/A,4 wins & 5 nominations,5,4,4.4,5%,18,18,"114,390","$8,840,453",No,No,No,No
Scary Movie V,2013,movie,12 Apr 2013,86,"Comedy, Horror","Malcolm D. Lee, David Zucker","English, Spanish, Latin",United States,N/A,5 nominations,5,0,3.5,4%,11,11,"78,741","$32,015,787",Yes,Yes,No,No
Teen Beach Movie,2013,movie,19 Jul 2013,110,"Comedy, Family, Fantasy",Jeffrey Hornaday,English,United States,N/A,2 nominations,2,0,6.0,88%,N,N/A,"14,728",N/A,Yes,No,No,No
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,movie,20 Apr 2013,90,"Animation, Mystery, Sci-Fi","Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô",Japanese,Japan,N/A,1 nomination,1,0,7.8,N/A,N,N/A,"9,909",N/A,Yes,No,No,No
Lego Batman: The Movie - DC Super Heroes Unite,2013,movie,21 May 2013,71,"Animation, Action, Adventure, Family, Sci-Fi",Jon Burton,English,"USA, UK, Denmark",N/A,N/A,0,0,6.5,N/A,N,N/A,"4,864",N/A,Yes,No,No,Yes
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,2013,movie,26 Oct 2013,116,"Animation, Drama, Fantasy","Takashi Kawabata, Yukihiro Miyamoto, Akiyuki Shinbô",Japanese,Japan,N/A,2 wins & 5 nominations,5,2,7.8,N/A,N,N/A,"4,303","$375,627",Yes,No,No,No
Gintama the Movie: The Final Chapter - Be Forever Yorozuya,2013,movie,06 Jul 2013,110,"Animation, Action, Comedy",Yôichi Fujita,Japanese,Japan,N/A,N/A,0,0,8.3,N/A,N,N/A,"3,177",N/A,Yes,No,No,No
Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,2013,movie,31 Aug 2013,99,"Animation, Adventure, Drama",Tatsuyuki Nagai,Japanese,Japan,N/A,N/A,0,0,7.3,N/A,N,N/A,"2,851","$109,630",Yes,No,No,No
The Harry Hill Movie,2013,movie,20 Dec 2013,88,"Adventure, Comedy, Family",Steve Bendelack,English,United Kingdom,N/A,N/A,0,0,3.9,33%,N,N/A,"2,414",N/A,Yes,No,No,No
Jay and Silent Bob's Super Groovy Cartoon Movie,2013,movie,20 Apr 2013,64,"Animation, Comedy",Steve Stark,English,United States,N/A,N/A,0,0,4.8,N/A,N,N/A,"2,301",N/A,Yes,No,No,No
The Lego Movie,2014,movie,07 Feb 2014,100,"Animation, Action, Adventure","Phil Lord, Christopher Miller","English, Turkish","United States, Denmark, Australia, Norway",N/A,Nominated for 1 Oscar. 72 wins & 67 nominations total,67,72,7.7,96%,83,83,"395,188","$257,966,122",Yes,Yes,No,Yes
The Last: Naruto the Movie,2014,movie,06 Oct 2015,112,"Animation, Action, Adventure",Tsuneo Kobayashi,Japanese,Japan,N/A,3 nominations,3,0,7.6,N/A,N,N/A,"18,288","$524,451",Yes,No,No,No
Stromberg - The Movie,2014,movie,20 Feb 2014,123,Comedy,Arne Feldhusen,German,Germany,NFP Marketing &amp; Distribution,1 win,0,1,7.3,N/A,N,N/A,"8,420",N/A,No,No,No,No
Angry Video Game Nerd: The Movie,2014,movie,21 Jul 2014,115,"Adventure, Comedy, Sci-Fi","Kevin Finn, James Rolfe",English,United States,N/A,N/A,0,0,5.4,N/A,N,N/A,"7,667",N/A,Yes,No,No,No
Hello Ladies: The Movie,2014,movie,22 Nov 2014,85,Comedy,Stephen Merchant,English,United States,N/A,Nominated for 2 Primetime Emmys. 2 nominations total,2,0,6.7,71%,N,N/A,"6,982",N/A,No,No,No,No
Video Games: The Movie,2014,movie,18 Jul 2014,101,"Documentary, History",Jeremy Snead,English,United States,N/A,1 win,0,1,6.1,18%,40,40,"5,610","$23,043",Yes,No,No,No
The Fluffy Movie: Unity Through Laughter,2014,movie,01 Sep 2015,101,"Documentary, Comedy","Manny Rodriguez, Jay Lavender",English,United States,N/A,N/A,0,0,7.2,53%,56,56,"4,267","$2,827,393",Yes,No,No,No
Corner Gas: The Movie,2014,movie,03 Dec 2014,90,Comedy,David Storey,English,Canada,N/A,1 nomination,1,0,6.9,N/A,N,N/A,"2,653",N/A,No,No,No,No
Maya the Bee Movie,2014,movie,08 Mar 2015,89,"Animation, Adventure, Comedy",Alexs Stadermann,English,"Australia, Germany, Belgium, Netherlands",N/A,1 win & 4 nominations,4,1,5.9,47%,49,49,"2,328",N/A,Yes,No,No,Yes
Postman Pat: The Movie,2014,movie,02 Jul 2014,88,"Animation, Comedy, Family",Mike Disa,English,"United Kingdom, United States",N/A,1 nomination,1,0,4.7,43%,44,44,"1,984","$1,519",Yes,No,No,Yes
The SpongeBob Movie: Sponge Out of Water,2015,movie,06 Feb 2015,92,"Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell",English,"United States, South Korea, Australia",N/A,1 win & 9 nominations,9,1,6.0,81%,62,62,"62,717","$162,994,032",Yes,No,No,Yes
The Peanuts Movie,2015,movie,06 Nov 2015,88,"Animation, Adventure, Comedy",Steve Martino,English,United States,N/A,2 wins & 49 nominations,49,2,7.0,87%,67,67,"50,470","$130,178,411",Yes,No,No,No
Shaun the Sheep Movie,2015,movie,05 Aug 2015,85,"Animation, Adventure, Comedy","Mark Burton, Richard Starzak","None, English","United Kingdom, France",N/A,Nominated for 1 Oscar. 4 wins & 49 nominations total,49,4,7.3,99%,81,81,"44,172","$19,375,982",Yes,Yes,No,Yes
My Scientology Movie,2015,movie,10 Mar 2017,99,Documentary,John Dower,English,United Kingdom,N/A,4 nominations,4,0,6.6,89%,62,62,"13,639","$22,936",No,No,No,No
Boruto: Naruto the Movie,2015,movie,28 Mar 2017,95,"Animation, Action, Adventure","Hiroyuki Yamashita, Toshiyuki Tsuru",Japanese,Japan,N/A,3 nominations,3,0,7.7,N/A,N,N/A,"12,494","$919,651",Yes,No,No,No
The Bad Education Movie,2015,movie,21 Aug 2015,90,Comedy,Elliot Hegarty,English,United Kingdom,N/A,N/A,0,0,5.8,63%,N,N/A,"7,640",N/A,No,No,No,No
Smosh: The Movie,2015,movie,24 Jul 2015,84,"Adventure, Comedy, Fantasy",Alex Winter,English,United States,N/A,N/A,0,0,3.3,N/A,N,N/A,"6,946",N/A,Yes,No,No,No
Regular Show: The Movie,2015,movie,14 Aug 2015,70,"Animation, Action, Adventure",J.G. Quintel,English,"Canada, United States",N/A,3 wins & 2 nominations,2,3,7.4,N/A,N,N/A,"6,440",N/A,Yes,No,No,Yes
Psycho-Pass: The Movie,2015,movie,29 Feb 2016,113,"Animation, Action, Crime","Naoyoshi Shiotani, Katsuyuki Motohiro","Japanese, English",Japan,N/A,1 win & 6 nominations,6,1,7.1,N/A,N,N/A,"4,637","$138,366",Yes,Yes,No,No
Ghost in the Shell: The New Movie,2015,movie,10 Nov 2015,100,"Animation, Action, Sci-Fi","Motonobu Hori, Shinji Itadaki, Kazuchika Kise","Japanese, English","Japan, United States",N/A,3 nominations,3,0,6.6,N/A,N,N/A,"4,172","$101,203",Yes,Yes,No,Yes
The Angry Birds Movie,2016,movie,20 May 2016,97,"Animation, Action, Adventure","Clay Kaytis, Fergal Reilly",English,"Finland, United States, United Kingdom, Australia, Canada, Slovakia",N/A,3 wins & 8 nominations,8,3,6.3,44%,43,43,"107,214","$107,509,366",Yes,No,No,Yes
A Silent Voice: The Movie,2016,movie,17 Sep 2016,130,"Animation, Drama","Taichi Ishidate, Naoko Yamada","Japanese, Japanese Sign , English",Japan,N/A,6 wins & 9 nominations,9,6,8.1,N/A,78,78,"106,895","$764,723",Yes,Yes,No,No
Absolutely Fabulous: The Movie,2016,movie,22 Jul 2016,91,"Comedy, Crime",Mandie Fletcher,"English, French","United Kingdom, United States",N/A,1 win & 9 nominations,9,1,5.4,57%,59,59,"13,342","$4,772,155",Yes,Yes,No,Yes
Uno: The Movie,2016,movie,30 Nov 2016,164,Comedy,N/A,English,USA,Rooster Teeth Productions,N/A,0,0,9.5,N/A,N,N/A,"10,106",N/A,No,No,No,No
Donald Trump's The Art of the Deal: The Movie,2016,movie,10 Feb 2016,50,Comedy,Jeremy Konner,English,United States,N/A,1 nomination,1,0,5.9,N/A,75,75,"5,038",N/A,No,No,No,No
BoBoiBoy: The Movie,2016,movie,03 Mar 2016,100,"Animation, Action, Adventure",Nizam Razak,Malay,Malaysia,N/A,1 win & 1 nomination,1,1,6.6,N/A,N,N/A,"2,820",N/A,Yes,No,No,No
Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,movie,05 Dec 2016,90,"Animation, Action, Adventure",Kunihiko Yuyama,Japanese,Japan,N/A,1 nomination,1,0,5.9,N/A,N,N/A,"1,662",N/A,Yes,No,No,No
Horror Hotel: The Movie,2016,movie,05 Jul 2016,103,"Comedy, Horror, Sci-Fi",Ricky Hess,English,United States,N/A,N/A,0,0,4.3,N/A,N,N/A,"1,333",N/A,Yes,No,No,No
Doraemon the Movie: Nobita and the Birth of Japan,2016,movie,05 Mar 2016,104,"Animation, Adventure, Comedy",Shinnosuke Yakuwa,Japanese,Japan,N/A,N/A,0,0,6.7,N/A,N,N/A,"1,081",N/A,Yes,No,No,No
That Vitamin Movie,2016,movie,01 Jan 2016,86,Documentary,"Michael Beattie, Sai Kelly",English,United Kingdom,N/A,N/A,0,0,7.8,N/A,N,N/A,961,N/A,No,No,No,No
The Lego Batman Movie,2017,movie,10 Feb 2017,104,"Animation, Action, Adventure",Chris McKay,English,"United States, Denmark, Australia",N/A,13 wins & 68 nominations,68,13,7.3,90%,75,75,"177,404","$175,936,671",Yes,No,No,Yes
The Emoji Movie,2017,movie,28 Jul 2017,86,"Animation, Adventure, Comedy",Tony Leondis,"English, Spanish",United States,N/A,6 wins & 4 nominations,4,6,3.4,6%,12,12,"73,313","$86,089,513",Yes,Yes,No,No
Captain Underpants: The First Epic Movie,2017,movie,02 Jun 2017,89,"Animation, Action, Adventure",David Soren,"English, German","United States, Canada, France",N/A,3 wins & 15 nominations,15,3,6.2,87%,69,69,"33,373","$73,921,000",Yes,Yes,No,Yes
The Lego Ninjago Movie,2017,movie,22 Sep 2017,101,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan",English,"United States, Denmark, Australia, Canada",N/A,7 nominations,7,0,6.0,56%,55,55,"30,932","$59,364,177",Yes,No,No,Yes
Psych: The Movie,2017,movie,07 Dec 2017,88,"Comedy, Crime, Mystery",Steve Franks,English,United States,N/A,2 nominations,2,0,7.3,100%,N,N/A,"13,060",N/A,Yes,No,No,No
Sword Art Online the Movie: Ordinal Scale,2017,movie,18 Feb 2017,119,"Animation, Action, Adventure",Tomohiko Itô,Japanese,Japan,N/A,3 nominations,3,0,7.3,N/A,N,N/A,"9,197","$1,522,976",Yes,No,No,No
My Little Pony: The Movie,2017,movie,06 Oct 2017,99,"Animation, Adventure, Comedy",Jayson Thiessen,English,"United States, Canada, Bulgaria, Ireland, Philippines, China, Austria, Brazil, Belgium",N/A,5 wins & 6 nominations,6,5,6.1,48%,39,39,"8,201","$21,885,107",Yes,No,No,Yes
Pokémon the Movie: I Choose You!,2017,movie,05 Nov 2017,98,"Animation, Action, Adventure",Kunihiko Yuyama,"Japanese, English","Japan, United States",N/A,1 nomination,1,0,6.3,33%,N,N/A,"7,655","$2,401,722",Yes,Yes,No,Yes
OHA Diyorum: The Movie,2017,movie,03 Nov 2017,90,Comedy,Ersan Özer,Turkish,Turkey,N/A,N/A,0,0,1.6,N/A,N,N/A,"6,899",N/A,No,No,No,No
Handsome: A Netflix Mystery Movie,2017,movie,05 May 2017,80,"Comedy, Mystery",Jeff Garlin,English,United States,N/A,N/A,0,0,5.2,N/A,N,N/A,"5,232",N/A,Yes,No,No,No
Constantine: City of Demons - The Movie,2018,movie,04 Oct 2018,90,"Animation, Action, Fantasy",Doug Murphy,English,United States,N/A,N/A,0,0,7.3,N/A,N,N/A,"9,698",N/A,Yes,No,No,No
Little Horror Movie,2018,movie,28 Jun 2019,84,"Horror, Mystery",Jérôme Cohen-Olivar,English,United States,N/A,5 wins & 2 nominations,2,5,4.0,N/A,N,N/A,"7,418","$478,000",Yes,No,No,No
Burn the Stage: The Movie,2018,movie,19 Jan 2019,84,"Documentary, Music",Jun-Soo Park,Korean,South Korea,N/A,N/A,0,0,8.5,N/A,N,N/A,"4,214","$4,201,819",Yes,No,No,No
Pokémon the Movie: The Power of Us,2018,movie,24 Nov 2018,100,"Animation, Action, Adventure",Tetsuo Yajima,Japanese,Japan,N/A,1 nomination,1,0,6.2,71%,N,N/A,"3,064","$789,170",Yes,No,No,No
The Dunkirk Spirit: Behind the Making of the Movie,2018,movie,12 Feb 2018,28,"Documentary, Short",N/A,English,United Kingdom,N/A,N/A,0,0,7.7,N/A,N,N/A,"2,961",N/A,Yes,No,No,No
Code Blue: The Movie,2018,movie,27 Jul 2018,127,Drama,N/A,Japanese,Japan,N/A,N/A,0,0,6.1,N/A,N,N/A,"1,469",N/A,No,No,No,No
"Love, Chunibyo & Other Delusions the Movie: Take on Me",2018,movie,06 Jan 2018,94,"Animation, Comedy, Drama","Tatsuya Ishihara, Yasuhiro Takemoto",Japanese,Japan,N/A,N/A,0,0,7.3,N/A,N,N/A,"1,344",N/A,Yes,No,No,No
Natsume's Book of Friends the Movie: Ephemeral Bond,2018,movie,29 Sep 2018,104,"Animation, Drama, Fantasy","Hideki Itô, Takahiro Ômori",Japanese,Japan,N/A,1 nomination,1,0,7.1,N/A,N,N/A,665,N/A,Yes,No,No,No
Si Doel: The Movie,2018,movie,02 Aug 2018,85,"Drama, Romance",Rano Karno,Indonesian,Indonesia,N/A,1 win & 6 nominations,6,1,6.8,N/A,N,N/A,434,N/A,Yes,No,No,No
Non Non Biyori: The Movie - Vacation,2018,movie,25 Aug 2018,71,"Animation, Adventure, Comedy",Shin'ya Kawatsura,Japanese,Japan,N/A,1 nomination,1,0,7.6,N/A,N,N/A,424,N/A,Yes,No,No,No
The Lego Movie 2: The Second Part,2019,movie,08 Feb 2019,107,"Animation, Action, Adventure",Mike Mitchell,English,"Denmark, Norway, Australia, United States",N/A,1 win & 16 nominations,16,1,6.5,84%,65,65,"78,953","$105,956,290",Yes,No,No,Yes
Between Two Ferns: The Movie,2019,movie,20 Sep 2019,82,Comedy,Scott Aukerman,English,United States,N/A,Nominated for 1 Primetime Emmy. 1 win & 2 nominations total,2,1,6.1,73%,59,59,"37,364",N/A,No,No,No,No
The Angry Birds Movie 2,2019,movie,14 Aug 2019,97,"Animation, Action, Adventure","Thurop Van Orman, John Rice",English,"Finland, United States, Australia, Canada, United Kingdom",N/A,1 win & 3 nominations,3,1,6.4,72%,60,60,"36,928","$41,667,116",Yes,No,No,Yes
Deadwood: The Movie,2019,movie,31 May 2019,110,"Drama, Western",Daniel Minahan,"English, Chinese",United States,N/A,Nominated for 8 Primetime Emmys. 3 wins & 36 nominations total,36,3,7.3,98%,N,N/A,"26,861",N/A,Yes,Yes,No,No
A Shaun the Sheep Movie: Farmageddon,2019,movie,14 Feb 2020,86,"Animation, Adventure, Comedy","Will Becher, Richard Phelan",English,"United Kingdom, France",N/A,Nominated for 1 Oscar. 2 wins & 22 nominations total,22,2,6.8,96%,79,79,"15,952",N/A,Yes,No,No,Yes
Threat Level Midnight: The Movie,2019,movie,06 Sep 2011,25,"Action, Comedy",Tucker Gates,English,"United Kingdom, United States",N/A,N/A,0,0,9.6,N/A,N,N/A,"10,193",N/A,Yes,No,No,Yes
Steven Universe: The Movie,2019,movie,02 Sep 2019,82,"Animation, Action, Adventure","Rebecca Sugar, Joseph D. Johnston, Kat Morris",English,United States,N/A,2 nominations,2,0,7.7,100%,N,N/A,"9,633",N/A,Yes,No,No,No
The Banana Splits Movie,2019,movie,13 Aug 2019,89,"Comedy, Horror, Thriller",Danishka Esterhazy,English,United States,N/A,N/A,0,0,5.1,60%,N,N/A,"4,855",N/A,Yes,No,No,No
Playmobil: The Movie,2019,movie,06 Dec 2019,99,"Animation, Adventure, Comedy",Lino DiSalvo,"English, German","France, United Kingdom, Germany, China, United States, Canada",N/A,N/A,0,0,4.9,17%,25,25,"4,818","$1,115,008",Yes,Yes,No,Yes
Horrible Histories: The Movie - Rotten Romans,2019,movie,26 Jul 2019,88,"Comedy, Family, History",Dominic Brigstocke,English,"United Kingdom, Switzerland, United States","Altitude Films, Citrus Films, Stavingoh Films",Nominated for 1 BAFTA Award2 nominations total,2,0,5.4,69%,N,N/A,"3,332",N/A,Yes,No,Yes,Yes
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,movie,23 Apr 2021,117,"Animation, Action, Adventure",Haruo Sotozaki,Japanese,Japan,N/A,6 wins & 6 nominations,6,6,8.2,N/A,72,72,"78,287","$49,505,008",Yes,No,No,No
The SpongeBob Movie: Sponge on the Run,2020,movie,04 Mar 2021,91,"Animation, Adventure, Comedy",Tim Hill,"English, Arabic, Ukrainian, Irish Gaelic","United States, Canada",N/A,4 nominations,4,0,5.9,66%,65,65,"22,632","$4,810,790",Yes,Yes,No,Yes
Violet Evergarden: The Movie,2020,movie,30 Mar 2021,140,"Animation, Drama, Fantasy",Taichi Ishidate,Japanese,"Japan, South Korea, Czech Republic, Germany",N/A,1 win & 3 nominations,3,1,8.3,100%,N,N/A,"11,027",N/A,Yes,No,No,Yes
Impractical Jokers: The Movie,2020,movie,28 Feb 2020,92,Comedy,Chris Henchy,English,United States,N/A,N/A,0,0,5.7,35%,39,39,"7,401","$10,691,091",No,No,No,No
Phineas and Ferb the Movie: Candace Against the Universe,2020,movie,28 Aug 2020,86,"Animation, Adventure, Comedy",Bob Bowen,English,"United States, Philippines, Germany, South Korea, China",N/A,1 win & 4 nominations,4,1,7.0,100%,77,77,"5,625",N/A,Yes,No,No,Yes
Deathstroke: Knights & Dragons - The Movie,2020,movie,04 Aug 2020,87,"Animation, Action, Adventure",Sung Jin Ahn,"English, Spanish",United States,N/A,N/A,0,0,6.3,82%,N,N/A,"4,301",N/A,Yes,Yes,No,No
We Bare Bears: The Movie,2020,movie,30 Jun 2020,69,"Animation, Adventure, Comedy",Daniel Chong,English,"United States, China, South Korea, Canada",N/A,N/A,0,0,6.8,N/A,N,N/A,"2,627",N/A,Yes,No,No,Yes
Pokémon the Movie: Secrets of the Jungle,2020,movie,08 Oct 2021,99,"Animation, Action, Adventure",Tetsuo Yajima,Japanese,Japan,N/A,N/A,0,0,6.4,N/A,N,N/A,"2,615",N/A,Yes,No,No,No
Masameer: The Movie,2020,movie,09 Jan 2020,110,Animation,Malik Nejer,Arabic,Saudi Arabia,N/A,N/A,0,0,6.0,N/A,N,N/A,"2,566",N/A,No,No,No,No
Break the Silence: The Movie,2020,movie,24 Sep 2020,89,"Documentary, Music",Park Jun-soo,"Korean, English, Portuguese, Dutch",South Korea,N/A,1 win,0,1,8.3,N/A,N,N/A,"2,493",N/A,Yes,Yes,No,No
PAW Patrol: The Movie,2021,movie,20 Aug 2021,86,"Animation, Action, Adventure",Cal Brunker,English,"Canada, United States",N/A,3 wins & 4 nominations,4,3,6.1,80%,50,50,"8,725","$40,127,371",Yes,No,No,Yes
The Loud House Movie,2021,movie,20 Aug 2021,83,"Animation, Adventure, Comedy",Dave Needham,English,"United States, Philippines, Austria",N/A,2 nominations,2,0,6.1,N/A,N,N/A,"3,020",N/A,Yes,No,No,Yes
2gether: The Movie,2021,movie,11 Nov 2021,107,"Comedy, Musical, Romance","Noppharnach Chaiwimol, Kanittha Kwanyu, Weerachit Thongjila",Thai,Thailand,N/A,N/A,0,0,6.7,N/A,N,N/A,"2,321",N/A,Yes,No,No,No
A Cop Movie,2021,movie,05 Nov 2021,107,"Documentary, Action, Crime",Alonso Ruizpalacios,Spanish,Mexico,N/A,7 wins & 20 nominations,20,7,7.0,93%,76,76,"2,229",N/A,Yes,No,No,No
Shatagni - The Movie,2021,movie,19 Nov 2021,N/A,"Action, Crime, Thriller",Lv Siva,Telugu,India,N/A,N/A,0,0,N/A,N/A,N,N/A,"2,007",N/A,Yes,No,No,No
Blackpink: The Movie,2021,movie,04 Aug 2021,100,"Documentary, Music","Su Yee Jung, Oh Yoon-Dong",Korean,South Korea,N/A,N/A,0,0,6.8,N/A,N,N/A,"1,601",N/A,Yes,No,No,No
Untitled Horror Movie,2021,movie,15 Jun 2021,87,"Comedy, Horror",Nick Simon,English,United States,N/A,N/A,0,0,4.8,82%,N,N/A,"1,448",N/A,Yes,No,No,No
The Balcony Movie,2021,movie,30 Nov 2022,100,Documentary,Pawel Lozinski,"English, Russian, Polish",Poland,N/A,8 wins & 9 nominations,9,8,7.5,100%,N,N/A,"1,301",N/A,No,Yes,No,No
a-ha: The Movie,2021,movie,03 Sep 2021,109,"Documentary, Biography, Music","Thomas Robsahm, Aslaug Holm","Norwegian, English, German","Norway, Germany",N/A,3 nominations,3,0,7.0,81%,56,56,"1,294","$4,258",Yes,Yes,No,Yes
Super Heroes: The Movie,2021,movie,02 Feb 2021,80,Romance,Wesley Wittkamper,English,N/A,N/A,N/A,0,0,7.3,N/A,N,N/A,"1,242",N/A,No,No,No,No
The Bob's Burgers Movie,2022,movie,27 May 2022,102,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","English, German",United States,N/A,2 nominations,2,0,7.0,87%,75,75,"22,251","$31,933,830",Yes,Yes,No,No
Ray Donovan: The Movie,2022,movie,14 Jan 2022,100,"Crime, Drama, Thriller",David Hollander,English,United States,N/A,Nominated for 1 Primetime Emmy. 4 nominations total,4,0,6.8,81%,67,67,"9,675",N/A,Yes,No,No,No
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,movie,05 Aug 2022,82,"Animation, Action, Adventure","Andy Suriano, Ant Ward",English,"United States, Germany, Philippines, Belgium, Canada, India",N/A,2 wins & 3 nominations,3,2,6.2,79%,61,61,"7,259",N/A,Yes,No,No,Yes
Monster High: The Movie,2022,movie,06 Oct 2022,92,"Action, Adventure, Comedy",Todd Holland,"Zulu, English","United States, Canada",Universal Pictures,4 wins & 10 nominations,10,4,5.1,N/A,N,N/A,"3,466",N/A,Yes,Yes,No,Yes
The Quintessential Quintuplets Movie,2022,movie,20 May 2022,136,"Animation, Comedy, Drama",Masato Jinbô,Japanese,Japan,N/A,N/A,0,0,7.2,92%,N,N/A,"2,229","$502,000",Yes,No,No,No
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022,movie,25 Nov 2022,114,"Animation, Action, Adventure",Yasuhito Kikuchi,Japanese,Japan,N/A,N/A,0,0,6.9,53%,41,41,"2,178","$1,588,491",Yes,No,No,No
The Nan Movie,2022,movie,18 Mar 2022,95,"Adventure, Comedy",Josie Rourke,English,United Kingdom,N/A,1 win & 2 nominations,2,1,4.8,0%,N,N/A,"1,589",N/A,Yes,No,No,No
The Soccer Football Movie,2022,movie,09 Nov 2022,73,"Animation, Comedy, Family",Mitch Schauer,English,"United States, Thailand, Canada",N/A,N/A,0,0,3.1,N/A,N,N/A,"1,280",N/A,Yes,No,No,Yes
The Super Mario Bros. Movie,2023,movie,05 Apr 2023,92,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic, Pierre Leduc",English,"United States, Japan",N/A,2 wins & 48 nominations,48,2,7.0,59%,46,46,"251,438","$574,934,330",Yes,No,No,Yes
Still: A Michael J. Fox Movie,2023,movie,12 May 2023,95,"Documentary, Biography",Davis Guggenheim,English,United States,N/A,Won 4 Primetime Emmys. 47 wins & 39 nominations total,39,47,8.1,99%,78,78,"16,163",N/A,Yes,No,No,No
Teen Wolf: The Movie,2023,movie,26 Jan 2023,141,"Action, Drama, Fantasy",Russell Mulcahy,"English, Korean",United States,N/A,1 nomination,1,0,5.6,32%,51,51,"15,034",N/A,Yes,Yes,No,No
Mr. Monk's Last Case: A Monk Movie,2023,movie,08 Dec 2023,97,"Comedy, Crime, Mystery",Randy Zisk,English,United States,N/A,Nominated for 1 Primetime Emmy. 8 nominations total,8,0,6.7,96%,N,N/A,"9,755",N/A,Yes,No,No,No
