Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
The Last Horror Movie,2003,movie,13 May 2005,80,"Horror, Thriller",Julian Richards,English,United Kingdom,N/A,15 wins & 3 nominations,3,15,5.5,56%,N,N/A,"4,081",N/A,Yes,No,No,No
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,movie,01 May 2006,99,"Animation, Action, Adventure",Toshiya Shinohara,Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,"2,451",N/A,Yes,No,No,No
15: The Movie,2003,movie,23 Oct 2003,96,"Drama, Comedy",Royston Tan,"Hokkien, Mandarin",Singapore,N/A,7 wins & 3 nominations,3,7,6.0,50%,47,47,831,N/A,Yes,Yes,No,No
The Movie Hero,2003,movie,08 Mar 2003,98,"Comedy, Romance",Brad T. Gottfred,English,United States,N/A,6 wins,0,6,6.2,N/A,N,N/A,827,N/A,Yes,No,No,No
The SpongeBob SquarePants Movie,2004,movie,19 Nov 2004,87,"Animation, Adventure, Comedy","Stephen Hillenburg, Mark Osborne",English,"United States, Australia, South Korea",N/A,1 win & 10 nominations,10,1,7.2,68%,66,66,"104,998","$85,417,988",Yes,No,No,Yes
Garfield: The Movie,2004,movie,11 Jun 2004,80,"Adventure, Comedy, Family",Peter Hewitt,English,United States,N/A,1 win & 1 nomination,1,1,5.1,14%,27,27,"95,919","$75,369,589",Yes,No,No,No
Yu-Gi-Oh!: The Movie - Pyramid of Light,2004,movie,13 Aug 2004,90,"Animation, Action, Adventure",Hatsuki Tsuji,English,"Japan, United States",N/A,N/A,0,0,5.0,6%,15,15,"9,198","$19,887,556",Yes,No,No,Yes
Naruto the Movie: Ninja Clash in the Land of Snow,2004,movie,06 Jun 2007,82,"Animation, Action, Adventure",Tensai Okamura,Japanese,Japan,N/A,N/A,0,0,6.6,N/A,N,N/A,"8,341",N/A,Yes,No,No,No
Pokémon the Movie: Destiny Deoxys,2004,movie,22 Jan 2005,98,"Animation, Action, Adventure",Kunihiko Yuyama,"Japanese, English","Japan, United States",N/A,N/A,0,0,6.1,N/A,N,N/A,"4,577",N/A,Yes,Yes,No,Yes
The Cutting Edge: The Magic of Movie Editing,2004,movie,12 Oct 2004,98,"Documentary, History",Wendy Apple,English,"United States, Japan, United Kingdom",N/A,N/A,0,0,7.7,N/A,N,N/A,"3,235",N/A,Yes,No,No,Yes
Inuyasha the Movie 4: Fire on the Mystic Island,2004,movie,20 Jul 2006,89,"Animation, Action, Adventure",Toshiya Shinohara,Japanese,Japan,N/A,N/A,0,0,7.2,N/A,N,N/A,"2,038",N/A,Yes,No,No,No
Comic Book: The Movie,2004,movie,27 Jan 2004,106,Comedy,Mark Hamill,English,USA,N/A,3 wins & 2 nominations.,2,3,5.9,40%,N,N/A,"1,254",N/A,No,No,No,No
Clifford's Really Big Movie,2004,movie,23 Apr 2004,74,"Animation, Adventure, Comedy","Robert C. Ramirez, Steve Trenbirth",English,"United States, United Kingdom",N/A,N/A,0,0,5.4,55%,49,49,"1,092","$2,922,354",Yes,No,No,Yes
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,movie,25 Aug 2006,105,"Animation, Action, Adventure",Seiji Mizushima,"Romany, Japanese, German",Japan,N/A,5 wins,0,5,7.3,N/A,N,N/A,"12,290",N/A,Yes,Yes,No,No
Pooh's Heffalump Movie,2005,movie,11 Feb 2005,68,"Animation, Adventure, Comedy",Frank Nissen,English,"United States, Japan, Germany, Canada, France",N/A,1 nomination,1,0,6.4,80%,64,64,"8,633","$18,098,433",Yes,No,No,Yes
Reefer Madness: The Movie Musical,2005,movie,16 Apr 2005,109,"Comedy, Drama, Horror",Andy Fickman,English,"United States, Germany, Canada",N/A,Won 1 Primetime Emmy. 4 wins & 10 nominations total,10,4,7.1,75%,N,N/A,"6,937",N/A,Yes,No,No,Yes
Naruto the Movie 2: Legend of the Stone of Gelel,2005,movie,06 Aug 2005,97,"Animation, Action, Adventure",Hirotsugu Kawasaki,Japanese,Japan,N/A,N/A,0,0,6.4,N/A,N,N/A,"5,342",N/A,Yes,No,No,No
Sad Movie,2005,movie,21 Oct 2005,108,"Comedy, Drama, Romance",Kwon Jong-kwan,"Korean, Korean Sign ",South Korea,N/A,N/A,0,0,7.2,N/A,N,N/A,"3,491",N/A,Yes,Yes,No,No
The Proud Family Movie,2005,movie,19 Aug 2005,90,"Animation, Adventure, Comedy",Bruce W. Smith,English,"United States, South Korea, Canada",N/A,3 nominations,3,0,5.3,N/A,N,N/A,"2,100",N/A,Yes,No,No,Yes
